date,Value_Weighted_Return,Total_Market_Cap,Year,Month
1926-01-31,0.003259326652563756,26802504.125,1926,1
1926-02-28,-0.029776849181679575,26052031.4375,1926,2
1926-03-31,-0.05917072141294716,24204769.1875,1926,3
1926-04-30,0.039061862932286466,25220275.0625,1926,4
1926-05-31,0.01360429690040532,25332723.5,1926,5
1926-06-30,0.05812184580015454,26917027.125,1926,6
1926-07-31,0.03654168315341391,27355973.5,1926,7
1926-08-31,0.03213281005359804,28389798.75,1926,8
1926-09-30,0.00923114963885838,28289759.0625,1926,9
1926-10-31,-0.026494090095452245,27387450.625,1926,10
1926-11-30,0.031019493799569847,28266002.625,1926,11
1926-12-31,0.03268272578246071,29039443.3125,1926,12
1927-01-31,0.0044396984626338615,29699573.5625,1927,1
1927-02-28,0.04761459904782625,31072913.4375,1927,2
1927-03-31,0.009410141466699377,31093317.0625,1927,3
1927-04-30,0.010497300086692527,31405604.5625,1927,4
1927-05-31,0.06137370119365915,33287355.4375,1927,5
1927-06-30,-0.018181831110448944,32635717.5625,1927,6
1927-07-31,0.07951276053685429,34995077.375,1927,7
1927-08-31,0.026751893071725593,35730921.8125,1927,8
1927-09-30,0.05375500536336673,37579532.1875,1927,9
1927-10-31,-0.03696956136347473,37190636.0625,1927,10
1927-11-30,0.07173553278355323,39490909.8125,1927,11
1927-12-31,0.028425860988931205,40656107.8125,1927,12
1928-01-31,-0.0006509051821684477,39961362.625,1928,1
1928-02-29,-0.011343171984091054,39308010.75,1928,2
1928-03-31,0.1025516431611705,42890366.0,1928,3
1928-04-30,0.05214598153169086,44696945.125,1928,4
1928-05-31,0.023776912930843677,45466767.9375,1928,5
1928-06-30,-0.04325644713661872,43449231.3125,1928,6
1928-07-31,0.011046711059646795,44109259.0,1928,7
1928-08-31,0.0738753251325117,47250207.0625,1928,8
1928-09-30,0.035872967294225865,48746745.9375,1928,9
1928-10-31,0.021993152234702888,49790501.8125,1928,10
1928-11-30,0.134314141465289,55941282.0,1928,11
1928-12-31,0.009277949701859323,57912698.625,1928,12
1929-01-31,0.060042163597356694,61425797.25,1929,1
1929-02-28,0.00499384451317551,60771950.25,1929,2
1929-03-31,0.0015289348033898293,60948629.875,1929,3
1929-04-30,0.02206352682967615,62835710.0,1929,4
1929-05-31,-0.04992830290894245,59971717.625,1929,5
1929-06-30,0.1098648427463988,66595915.25,1929,6
1929-07-31,0.052584383011332954,69523543.8125,1929,7
1929-08-31,0.09541083669670866,75676771.1875,1929,8
1929-09-30,-0.041650441176331675,73948480.25,1929,9
1929-10-31,-0.17791298042800074,59595719.375,1929,10
1929-11-30,-0.11516036631015603,52676655.0,1929,11
1929-12-31,0.029322388360814862,54941088.4375,1929,12
1930-01-31,0.06234147089219248,58822035.375,1930,1
1930-02-28,0.033777176411682035,60354057.5625,1930,2
1930-03-31,0.08282187470374715,64908551.75,1930,3
1930-04-30,-0.008582804179626114,63584446.375,1930,4
1930-05-31,-0.011199517066012559,63571242.625,1930,5
1930-06-30,-0.15329475842375115,52891486.375,1930,6
1930-07-31,0.046263602818217904,55808095.9375,1930,7
1930-08-31,0.007516812251770272,56893886.3125,1930,8
1930-09-30,-0.1192845578481927,49119530.125,1930,9
1930-10-31,-0.08169670660244865,45161510.8125,1930,10
1930-11-30,-0.02448981300968655,43944824.125,1930,11
1930-12-31,-0.07016803719575679,40656055.4375,1930,12
1931-01-31,0.06989354132357811,43160616.1875,1931,1
1931-02-28,0.11785110857196271,47779922.25,1931,2
1931-03-31,-0.05533626397462668,44419763.3125,1931,3
1931-04-30,-0.09113928649234573,39851669.625,1931,4
1931-05-31,-0.12416080357441438,34642702.5,1931,5
1931-06-30,0.14804502549805307,39229071.125,1931,6
1931-07-31,-0.06007364983008245,36559788.5,1931,7
1931-08-31,0.009296304447984821,36397957.5,1931,8
1931-09-30,-0.2785914239259565,25267461.125,1931,9
1931-10-31,0.09201749198361094,27232289.125,1931,10
1931-11-30,-0.07896307047702467,24655875.5625,1931,11
1931-12-31,-0.12154259881450227,21168714.0,1931,12
1932-01-31,0.00029967715733781973,20924459.625,1932,1
1932-02-29,0.06641775565221475,21927657.3125,1932,2
1932-03-31,-0.09714878351288,19420975.375,1932,3
1932-04-30,-0.1639466813173969,15844002.625,1932,4
1932-05-31,-0.18058851876260373,12456991.4375,1932,5
1932-06-30,0.014027816771655004,12141675.9375,1932,6
1932-07-31,0.385101349087031,16217678.0,1932,7
1932-08-31,0.4212664498490159,22171206.25,1932,8
1932-09-30,-0.01854912213840712,21381713.0625,1932,9
1932-10-31,-0.12130887615209004,18516205.1875,1932,10
1932-11-30,-0.047147978832320594,17308705.3125,1932,11
1932-12-31,0.05241091474651777,17915461.75,1932,12
1933-01-31,0.022711976070153267,18158797.875,1933,1
1933-02-28,-0.14353337326068935,15290756.0,1933,2
1933-03-31,0.048863498818849806,15497870.25,1933,3
1933-04-30,0.43663882071267196,21646083.3125,1933,4
1933-05-31,0.24651829532537442,26226075.0625,1933,5
1933-06-30,0.1458009002028498,29500679.5625,1933,6
1933-07-31,-0.08681407486243406,26755429.3125,1933,7
1933-08-31,0.13181110594731163,29876176.3125,1933,8
1933-09-30,-0.09511840295990327,26485705.0,1933,9
1933-10-31,-0.07631787881196649,24337124.9375,1933,10
1933-11-30,0.10913239006790673,26718475.1875,1933,11
1933-12-31,0.02504884764581516,27101031.5,1933,12
1934-01-31,0.14199666907544048,30461417.9375,1934,1
1934-02-28,-0.02011747537662072,29634053.1875,1934,2
1934-03-31,0.0037971776031378713,29518294.625,1934,3
1934-04-30,-0.013165089274468805,28991705.6875,1934,4
1934-05-31,-0.06836107569527752,26839795.25,1934,5
1934-06-30,0.02916976217394577,27395540.8125,1934,6
1934-07-31,-0.09977802513692614,24304152.5625,1934,7
1934-08-31,0.06015192331867038,25611870.875,1934,8
1934-09-30,0.00034370656698032206,25724996.1875,1934,9
1934-10-31,-0.01195107383121889,25426475.625,1934,10
1934-11-30,0.0898128657583594,27471503.875,1934,11
1934-12-31,0.007357352190926406,27430006.25,1934,12
1935-01-31,-0.031342509632518764,26411783.5,1935,1
1935-02-28,-0.014399089663628026,25659043.5625,1935,2
1935-03-31,-0.03151070062980372,24433922.125,1935,3
1935-04-30,0.09532877860913247,26914430.25,1935,4
1935-05-31,0.03929787239981593,27752425.1875,1935,5
1935-06-30,0.06330663671709445,29300407.375,1935,6
1935-07-31,0.08334894606514069,31222143.875,1935,7
1935-08-31,0.03269976606324492,32196014.03498,1935,8
1935-09-30,0.03133777180643985,32906786.4375,1935,9
1935-10-31,0.07803414283534885,35174294.0625,1935,10
1935-11-30,0.05591612819741082,36703051.625,1935,11
1935-12-31,0.052008951180151836,38327213.625,1935,12
1936-01-31,0.07635071012568923,41025931.3125,1936,1
1936-02-29,0.03100251560607083,42017338.625,1936,2
1936-03-31,0.01650281242601775,41937480.3125,1936,3
1936-04-30,-0.07730182864959009,39117303.5625,1936,4
1936-05-31,0.05562063159009686,41063383.125,1936,5
1936-06-30,0.02691492082364981,41986083.8125,1936,6
1936-07-31,0.07245331949505597,44791855.875,1936,7
1936-08-31,0.012697711022011806,45046897.0625,1936,8
1936-09-30,0.013314651739185624,45404411.5,1936,9
1936-10-31,0.07897014478921896,48567264.625,1936,10
1936-11-30,0.03801452069269762,49854589.125,1936,11
1936-12-31,0.00853729926309785,50053956.4375,1936,12
1937-01-31,0.038364102846124376,51719289.6875,1937,1
1937-02-28,0.016020198258068993,52225791.125,1937,2
1937-03-31,0.0040733769278207795,52226112.9375,1937,3
1937-04-30,-0.06972737540444071,48452673.375,1937,4
1937-05-31,-0.005332724596333181,47909897.6875,1937,5
1937-06-30,-0.03878946338223354,45717676.125,1937,6
1937-07-31,0.09309063158191284,49838710.125,1937,7
1937-08-31,-0.04506854647444224,47271082.375,1937,8
1937-09-30,-0.12867352072507207,40786542.4375,1937,9
1937-10-31,-0.09111434088673406,36835759.125,1937,10
1937-11-30,-0.07713421973556771,33429564.6875,1937,11
1937-12-31,-0.03445543408757421,31661577.9375,1937,12
1938-01-31,0.009442105301774093,31855665.8125,1938,1
1938-02-28,0.06250873299949974,33780828.5625,1938,2
1938-03-31,-0.22931692898806574,25575289.125,1938,3
1938-04-30,0.1492154480036019,29245348.4375,1938,4
1938-05-31,-0.033411726068329525,28079212.1875,1938,5
1938-06-30,0.2528951419332416,34558133.25,1938,6
1938-07-31,0.07890810823333887,37058056.5,1938,7
1938-08-31,-0.02292924772209129,35946451.1875,1938,8
1938-09-30,0.00962145218705303,36104450.0625,1938,9
1938-10-31,0.08603901878866844,38868737.0,1938,10
1938-11-30,-0.014144470783437729,37975527.875,1938,11
1938-12-31,0.04563100187563377,39236537.625,1938,12
1939-01-31,-0.05611306307842551,36786574.3125,1939,1
1939-02-28,0.03700950123860273,38039663.5625,1939,2
1939-03-31,-0.11116250904203208,33330975.5,1939,3
1939-04-30,0.0006683215519484929,33207922.3125,1939,4
1939-05-31,0.07020683061322117,35382961.875,1939,5
1939-06-30,-0.04923649998540501,33325403.9375,1939,6
1939-07-31,0.10743945786002412,36662025.3125,1939,7
1939-08-31,-0.06438506151610955,34000514.5,1939,8
1939-09-30,0.20592046787987273,39594958.0625,1939,9
