Year,Month,Stock_lag_MV,Stock_Excess_Vw_Ret,Bond_lag_MV,Bond_Excess_Vw_Ret
1926,1,,,,0.0038781921026277
1926,2,27.03234525,-0.036744013119147,0.019502,0.0010759817656675998
1926,3,26.1620836875,-0.0676529803959398,0.0195,0.0008051204416263001
1926,4,24.5069316875,0.033663412256611805,0.018736,0.0034143996111062995
1926,5,25.2961945625,0.0119069645630888,0.019227,0.0022867471555894003
1926,6,25.58730925,0.050997960768065405,0.019225,0.0002854407492747001
1926,7,26.937267125,0.0289937480958593,0.018808,-0.0009015098607805003
1926,8,27.40210725,0.0262876392738645,0.018783,-0.0011702387825489001
1926,9,28.42477375,0.0036212872563387,0.018707,-0.0013354113117864
1926,10,28.3081440625,-0.0322763560185666,0.018259,0.0031844008600919
1926,11,27.501095375,0.025092483840455003,0.018592,0.0035741148138974
1926,12,28.281302625,0.0261942507820593,0.018563,0.0047181507027544995
1927,1,29.6153465625,-0.0005639312900409998,0.018021,0.0012711597646172003
1927,2,29.7836953125,0.041699618192332,0.01823,0.0016033338897996998
1927,3,31.2178369375,0.0012815769682220004,0.01822,0.0018711359763226004
1927,4,31.1993801875,0.0045800094995396,0.016207,-0.0007779812380469002
1927,5,31.4528645625,0.054253438089690006,0.017976,0.0028846244104332006
1927,6,33.4696291875,-0.023363091906708,0.017921,-0.0028461677389395998
1927,7,32.7830694375,0.07218170237971781,0.017104,0.0013109773435707995
1927,8,35.015154,0.0194864522428132,0.017044,0.0025136093116581004
1927,9,35.7936298125,0.0475235257113269,0.017474,-0.0005818167112117002
1927,10,39.0527171875,-0.0428381398904789,0.016786,0.0029554736918628003
1927,11,37.2955410625,0.06512319178957579,0.0175,0.0024507655841749
1927,12,39.5120420625,0.0207774958854118,0.016743,0.0007745244886891
1928,1,40.8998140625,-0.005468677040484701,0.016829,-0.0012473220766677
1928,2,40.13160475,-0.0168563020806033,0.016476,0.00013379844587939988
1928,3,39.404019625,0.0877467509522529,0.016387,-0.0011265151012720999
1928,4,42.920254,0.042422979247520504,0.016433,-0.00266445616926
1928,5,44.7126545,0.015521735337171102,0.016916,-0.0066151327313511005
1928,6,45.6555234375,-0.0482452594912971,0.01684,-0.0004686758351489001
1928,7,43.6159299375,0.0062647275088865,0.016268,-0.0105464493798397
1928,8,44.21822125,0.0667630367270978,0.016508,0.0009181989425368995
1928,9,47.4066488125,0.0285887361016452,0.016736,-0.0023510897286371
1928,10,49.0101214375,0.012761428434993501,0.015735,0.0018888889032175997
1928,11,50.0237321875,0.1178906359851261,0.016248,-0.0016685099281015998
1928,12,56.214138,0.0007981111445131001,0.016231,-0.0035999079374184
1929,1,58.30129825,0.0465913810282239,0.015564,-0.0047010272454025
1929,2,61.8694943125,-0.0033243619769949,0.016393,-0.0049300893010077
1929,3,61.098821375,-0.0084238474687966,0.016378,-0.0079061525186106
1929,4,61.219707875,0.014251926928352098,0.015804,0.008782419108895299
1929,5,63.65531825,-0.0634540199393443,0.016255,-0.010173736284633
1929,6,60.690745125,0.0968913572688104,0.01623,0.0024870793348694
1929,7,66.68918675,0.0426235664546031,0.01559,-0.0011758020187029
1929,8,69.8191061875,0.0830876055720704,0.01589,-0.0005389858966540996
1929,9,77.2258605625,-0.0538270436128702,0.01587,-0.0032847175082140996
1929,10,74.380039625,-0.1986326184030283,0.015226,0.0092552425656201
1929,11,60.498277,-0.1258663403004635,0.015776,0.0146212591350988
1929,12,52.780124125,0.013242587792998799,0.015775,-0.00019130666272820004
1930,1,55.1519456875,0.0560508373462075,0.014931,-0.0029036094106587
1930,2,58.958882375,0.0250088553835205,0.015283,0.0045573165645519005
1930,3,60.3844981875,0.07092247050227049,0.015266,0.004934329036649401
1930,4,65.130697875,-0.020460252638720602,0.014804,-0.0011176461380086
1930,5,63.976755375,-0.0165792241875551,0.015248,0.0057543574109651
1930,6,63.577514625,-0.1608938204923479,0.015208,0.0047234772936546
1930,7,53.092836375,0.0411615306416444,0.014553,0.0017250382969685998
1930,8,56.5283838125,0.0033064887772601,0.014949,0.0013679734531043
1930,9,56.9002103125,-0.1262099998747318,0.014949,0.0051071628049939
1930,10,49.122272875,-0.0876017776480138,0.014566,0.0030380336218267
1930,11,45.1972208125,-0.0300589342694595,0.014897,0.0036142514823356998
1930,12,43.944824125,-0.0779976856459486,0.014892,-0.00029287163494599996
1931,1,40.6650426875,0.0632228619151901,0.014409,-0.0040126808371523
1931,2,43.2108174375,0.10868197510923909,0.014964,0.0050884786574001
1931,3,47.77992225,-0.06379983466762941,0.014837,0.0042015576695041005
