permno,dlret,dlstdt,dlstcd,date
10000,0.0,1987-06-11,560,1987-06-30
10001,0.011583,2017-08-03,233,2017-08-31
10002,0.046007,2013-02-15,231,2013-02-28
10003,0.01373,1995-12-15,231,1995-12-31
10005,0.125,1991-07-11,560,1991-07-31
10006,0.03563,1984-06-28,233,1984-06-30
10007,-0.133333,1990-10-16,560,1990-10-31
10008,0.009369,1988-11-21,551,1988-11-30
10009,0.005671,2000-11-03,233,2000-11-30
10010,-0.112977,1995-08-28,231,1995-08-31
10011,0.005236,1998-02-06,233,1998-02-28
10012,-0.058824,2005-08-02,552,2005-08-31
10013,-0.166667,1987-06-16,570,1987-06-30
10014,0.052632,1977-04-07,233,1977-04-30
10015,-0.057667,1986-07-08,231,1986-07-31
10016,-0.028936,2001-05-03,231,2001-05-31
10017,0.032258,1988-09-27,233,1988-09-30
10018,-0.125,1995-11-10,552,1995-11-30
10019,0.007463,2002-06-18,233,2002-06-30
10020,0.018301,1993-04-30,231,1993-04-30
10021,0.444444,1995-12-29,231,1995-12-31
10022,0.01498,1960-05-03,231,1960-05-31
10023,0.066667,1973-06-05,500,1973-06-30
10024,0.0,1992-05-11,561,1992-05-31
10025,-0.050551,2017-01-20,241,2017-01-31
10026,,2024-12-31,100,2024-12-31
10027,0.037037,1990-03-28,233,1990-03-31
10028,,2024-12-31,100,2024-12-31
10029,0.061225,1990-08-29,233,1990-08-31
10030,0.168,1968-12-26,200,1968-12-31
10031,0.0,1989-08-16,580,1989-08-31
10032,,2024-12-31,100,2024-12-31
10033,0.056529,1986-11-28,341,1986-11-30
10034,0.041539,1991-09-27,241,1991-09-30
10035,0.0,2003-12-19,233,2003-12-31
10036,0.0,1991-03-06,561,1991-03-31
10037,0.046338,2004-05-28,233,2004-05-31
10038,0.037037,1991-01-29,560,1991-01-31
10039,-0.923077,2001-06-26,580,2001-06-30
10040,0.0,1989-06-15,580,1989-06-30
10041,-0.4,1990-05-16,560,1990-05-31
10042,-0.097387,2008-03-18,232,2008-03-31
10043,0.019608,1999-06-23,233,1999-06-30
10044,,2024-12-31,100,2024-12-31
10045,-0.5,1987-04-16,580,1987-04-30
10046,-0.125,1995-03-15,552,1995-03-31
10047,-0.333333,1995-01-20,570,1995-01-31
10048,-0.03095,1999-10-01,231,1999-10-31
10049,-0.647059,1932-09-28,500,1932-09-30
10050,0.184,1978-06-16,450,1978-06-30
10051,0.001603,2022-10-03,233,2022-10-31
10052,0.193548,1988-03-30,551,1988-03-31
10053,-0.130435,1990-01-19,560,1990-01-31
10054,0.0,1987-01-22,560,1987-01-31
10055,1.0,1995-08-23,552,1995-08-31
10056,0.006299,2006-10-06,231,2006-10-31
10057,0.0,1996-07-02,233,1996-07-31
10058,0.0,1984-09-11,560,1984-09-30
10059,-0.120333,1994-04-15,231,1994-04-30
10060,-0.201333,1998-06-25,200,1998-06-30
10061,-0.95,1990-07-30,580,1990-07-31
10062,0.05,1999-09-01,561,1999-09-30
10063,0.45,1993-07-15,560,1993-07-31
10064,0.042688,1997-03-27,231,1997-03-31
10065,,2024-12-31,100,2024-12-31
10066,,2024-12-31,100,2024-12-31
10067,0.008696,1987-03-11,233,1987-03-31
10068,-1.0,1986-11-17,580,1986-11-30
10069,-0.074359,1987-01-16,231,1987-01-31
10070,-0.3,1990-11-20,580,1990-11-30
10071,0.05603,1997-08-29,231,1997-08-31
10072,-0.333333,1992-09-30,552,1992-09-30
10073,0.112,1938-07-27,450,1938-07-31
10074,0.125,1996-03-13,580,1996-03-31
10075,0.008518,1999-07-27,233,1999-07-31
10076,0.0,1990-05-31,580,1990-05-31
10077,1.0,1994-01-10,570,1994-01-31
10078,0.013874,2010-01-26,233,2010-01-31
10079,0.09375,1995-03-14,233,1995-03-31
10080,-0.285714,2003-10-31,520,2003-10-31
10081,-0.5,1931-06-18,500,1931-06-30
10082,0.148966,1995-09-28,241,1995-09-30
10083,0.5,1993-09-09,560,1993-09-30
10084,0.0,1994-03-03,582,1994-03-31
10085,0.00027,2006-04-04,233,2006-04-30
10086,0.026248,1994-06-30,231,1994-06-30
10087,0.013575,2000-10-18,233,2000-10-31
10088,0.0,1988-05-23,560,1988-05-31
10089,0.333333,2005-02-28,584,2005-02-28
10090,-0.786667,1995-07-31,231,1995-07-31
10091,0.100719,1989-02-27,551,1989-02-28
10092,0.081303,2010-05-28,560,2010-05-31
10093,-0.333333,1990-05-03,581,1990-05-31
10094,0.005025,1997-12-26,233,1997-12-31
