date,vwretd,mkt_crsp_mktcap
1925-12-31,,27487487.2
1926-01-31,0.000561,27624240.8
1926-02-28,-0.033046,26752064.1
1926-03-31,-0.064002,25083173.4
1926-04-30,0.037029,25886743.8
1926-05-31,0.012095,26187807.9
1926-06-30,0.053664,27537177.2
1926-07-31,0.031411,28009656.5
1926-08-31,0.028647,29042482.9
1926-09-30,0.005787,28919740.6
1926-10-31,-0.028996,28100520.5
1926-11-30,0.028554,28900725.0
1926-12-31,0.029211,30273387.2
1927-01-31,0.002416,30457880.9
1927-02-28,0.04537,31953471.3
1927-03-31,0.003756,31914640.1
1927-04-30,0.007225,32173935.3
1927-05-31,0.057773,34245736.1
1927-06-30,-0.021087,33526101.2
1927-07-31,0.075279,35804068.4
1927-08-31,0.02249,36645466.7
1927-09-30,0.049924,39953116.6
1927-10-31,-0.04077,38150716.1
1927-11-30,0.068453,40447439.4
1927-12-31,0.023782,41806899.3
1928-01-31,-0.00334,41155932.8
1928-02-29,-0.014478,40298678.6
1928-03-31,0.090478,43946023.2
1928-04-30,0.043846,45761043.5
1928-05-31,0.01769,46689799.9
1928-06-30,-0.045245,44600923.6
1928-07-31,0.0094,45217671.8
1928-08-31,0.070206,48489919.6
1928-09-30,0.031498,50127369.2
1928-10-31,0.019228,51252490.7
1928-11-30,0.1215,57564519.2
1928-12-31,0.005557,59829707.9
1929-01-31,0.053935,63751694.9
1929-02-28,-0.000446,62941161.0
1929-03-31,-0.007808,62898768.0
1929-04-30,0.017179,65326754.1
1929-05-31,-0.059923,62300380.6
1929-06-30,0.101573,69380855.4
1929-07-31,0.045958,72706424.4
1929-08-31,0.085343,80134353.8
1929-09-30,-0.050455,76152615.4
1929-10-31,-0.196684,61913687.0
1929-11-30,-0.123812,54017414.9
1929-12-31,0.01639,56455416.7
1930-01-31,0.058407,60429023.8
1930-02-28,0.028242,61898780.9
1930-03-31,0.074631,66833297.8
1930-04-30,-0.020541,65542319.1
1930-05-31,-0.01401,65184314.1
1930-06-30,-0.15998,54435394.1
1930-07-31,0.041964,57849321.2
1930-08-31,0.003663,58228874.7
1930-09-30,-0.124805,50299775.6
1930-10-31,-0.086579,46291111.1
1930-11-30,-0.028057,45053815.7
1930-12-31,-0.077739,41641850.9
1931-01-31,0.063781,44233807.2
1931-02-28,0.109695,48937324.8
1931-03-31,-0.062866,45502731.0
1931-04-30,-0.100219,40867246.9
1931-05-31,-0.133835,35352945.5
1931-06-30,0.14034,40049272.8
1931-07-31,-0.066438,37260591.6
1931-08-31,0.003078,37096785.8
1931-09-30,-0.291731,25722595.5
1931-10-31,0.081509,27740364.1
1931-11-30,-0.088402,25120457.8
1931-12-31,-0.134971,21544308.1
1932-01-31,-0.010534,21345663.4
1932-02-29,0.057663,22389672.8
1932-03-31,-0.110599,19826566.0
1932-04-30,-0.179417,16156819.6
1932-05-31,-0.206198,12678021.1
1932-06-30,-0.004289,12392613.4
1932-07-31,0.340643,16579630.0
1932-08-31,0.371388,22672420.0
1932-09-30,-0.028649,21886062.9
1932-10-31,-0.132553,18889026.8
1932-11-30,-0.05826,17697718.2
1932-12-31,0.045227,18339302.2
1933-01-31,0.009813,18536591.6
1933-02-28,-0.153204,15600182.9
1933-03-31,0.033105,15813731.9
1933-04-30,0.394143,22159068.1
1933-05-31,0.213261,26825922.2
1933-06-30,0.133364,30299248.3
1933-07-31,-0.096342,27399882.4
1933-08-31,0.121285,30684781.4
1933-09-30,-0.105836,27231512.9
1933-10-31,-0.08365,24950664.7
1933-11-30,0.099896,27400411.1
1933-12-31,0.017876,27775752.2
1934-01-31,0.126779,31241572.2
1934-02-28,-0.024287,30429138.7
1934-03-31,0.004425,30379245.6
1934-04-30,-0.018345,29865697.7
1934-05-31,-0.072273,27612799.9
1934-06-30,0.025345,28164146.3
1934-07-31,-0.109363,24986019.8
1934-08-31,0.057043,26767180.1
1934-09-30,-0.002362,26487053.8
1934-10-31,-0.018895,26092254.2
1934-11-30,0.082096,28157905.9
1934-12-31,0.003554,28113229.6
1935-01-31,-0.033416,27097822.8
1935-02-28,-0.019462,26324446.5
1935-03-31,-0.036013,25101317.7
1935-04-30,0.090452,27646747.2
1935-05-31,0.034561,28514274.7
1935-06-30,0.057796,30033506.6
1935-07-31,0.07416,32144750.1
1935-08-31,0.026773,32977159.2
1935-09-30,0.026074,33700508.1
1935-10-31,0.069439,35968841.3
1935-11-30,0.052872,37713163.8
1935-12-31,0.046926,39582694.2
1936-01-31,0.069559,42272563.6
1936-02-29,0.025402,43302576.1
1936-03-31,0.008253,43361377.8
1936-04-30,-0.081481,40281534.8
1936-05-31,0.052043,42225379.9
1936-06-30,0.024671,43221826.4
1936-07-31,0.065954,46034040.5
1936-08-31,0.01095,46342114.1
1936-09-30,0.011899,46808203.1
1936-10-31,0.069986,50082903.1
1936-11-30,0.032855,51389078.0
1936-12-31,0.002796,51610120.7
1937-01-31,0.033258,53291983.8
1937-02-28,0.013114,53954079.2
1937-03-31,-0.002732,53910122.7
1937-04-30,-0.075416,49881318.8
1937-05-31,-0.007054,49310875.8
1937-06-30,-0.041748,47231598.9
1937-07-31,0.089725,51346540.4
1937-08-31,-0.048365,48758362.2
1937-09-30,-0.136623,41956288.3
1937-10-31,-0.095798,37993021.6
1937-11-30,-0.083053,34367681.4
1937-12-31,-0.040774,32636697.3
1938-01-31,0.006776,33089179.8
1938-02-28,0.058013,34830549.9
1938-03-31,-0.238416,26427238.6
1938-04-30,0.145963,30261304.5
1938-05-31,-0.039053,29010665.1
1938-06-30,0.237914,35685196.6
1938-07-31,0.072097,38212860.2
1938-08-31,-0.027139,37047081.7
1938-09-30,0.008912,37231197.4
1938-10-31,0.078927,40112983.4
1938-11-30,-0.018206,39188031.6
1938-12-31,0.04192,40503948.4
1939-01-31,-0.060381,37925799.4
1939-02-28,0.035255,39226769.7
1939-03-31,-0.120727,34333815.2
1939-04-30,-0.001932,34221640.3
1939-05-31,0.068971,36469843.1
1939-06-30,-0.053626,34361046.1
1939-07-31,0.102243,37771800.6
1939-08-31,-0.067264,35013042.2
1939-09-30,0.161815,40539978.1
1939-10-31,-0.004191,40328803.4
1939-11-30,-0.037131,38498241.2
1939-12-31,0.029686,39426600.2
1940-01-31,-0.024215,38533043.7
1940-02-29,0.014758,38916710.0
1940-03-31,0.018643,39518662.1
1940-04-30,0.000837,39494279.7
1940-05-31,-0.221112,30548265.0
1940-06-30,0.066856,32433146.8
1940-07-31,0.031923,33422836.4
1940-08-31,0.024296,34002889.7
1940-09-30,0.023118,34665958.9
1940-10-31,0.030143,35654698.5
1940-11-30,-0.016753,34730508.9
1940-12-31,0.006586,34823119.7
1941-01-31,-0.041227,33370915.1
1941-02-28,-0.013801,32702122.8
1941-03-31,0.009515,32840146.7
1941-04-30,-0.054018,31012670.0
1941-05-31,0.013141,31177512.8
1941-06-30,0.058495,32787801.0
1941-07-31,0.059543,34700928.5
1941-08-31,-0.001156,34472096.7
1941-09-30,-0.007611,34057316.9
1941-10-31,-0.052926,32209432.7
1941-11-30,-0.020271,31137234.8
1941-12-31,-0.046692,29493311.5
1942-01-31,0.008979,29705375.3
1942-02-28,-0.023651,28815872.3
1942-03-31,-0.065145,26761999.2
1942-04-30,-0.043583,25548513.9
1942-05-31,0.060174,26893925.1
1942-06-30,0.025772,27382783.6
1942-07-31,0.035327,28277068.0
1942-08-31,0.018408,28626060.6
1942-09-30,0.027069,29232043.4
1942-10-31,0.069088,31183138.9
1942-11-30,0.001177,30897989.5
1942-12-31,0.05129,32230307.6
1943-01-31,0.073382,34560889.1
1943-02-28,0.060478,36495945.5
1943-03-31,0.061795,38558608.9
1943-04-30,0.007333,38776707.7
1943-05-31,0.057142,40779354.1
1943-06-30,0.017351,41289414.3
1943-07-31,-0.047753,39912177.8
1943-08-31,0.013444,40123653.2
1943-09-30,0.024077,40893060.0
1943-10-31,-0.011573,40485138.6
1943-11-30,-0.059903,37746620.5
1943-12-31,0.064217,39769111.3
1944-01-31,0.01803,40653798.8
1944-02-29,0.003459,40620641.5
1944-03-31,0.024768,41425735.0
1944-04-30,-0.016484,40703909.4
1944-05-31,0.050909,42494077.3
1944-06-30,0.056842,44725503.5
1944-07-31,-0.015194,44016221.8
1944-08-31,0.015597,44504045.9
1944-09-30,0.000453,44391234.9
1944-10-31,0.002119,44423701.5
1944-11-30,0.016668,44768621.4
1944-12-31,0.04107,46856309.4
1945-01-31,0.020218,47861970.3
1945-02-28,0.064477,50725183.6
1945-03-31,-0.039177,48551743.8
1945-04-30,0.078232,52320643.2
1945-05-31,0.018185,53195465.9
1945-06-30,0.004676,53280582.2
1945-07-31,-0.022066,52100238.7
1945-08-31,0.061826,55085728.9
1945-09-30,0.048297,57574558.4
1945-10-31,0.038749,59843229.6
1945-11-30,0.054859,62791336.9
1945-12-31,0.013003,64330622.1
1946-01-31,0.063402,68731812.2
1946-02-28,-0.058257,64569815.2
1946-03-31,0.057941,68233191.8
1946-04-30,0.042293,71172742.7
1946-05-31,0.040195,74107548.4
1946-06-30,-0.038668,71074175.8
1946-07-31,-0.026309,69502251.4
1946-08-31,-0.064468,64837647.7
1946-09-30,-0.102023,58060902.1
1946-10-31,-0.014164,57167870.2
1946-11-30,0.000697,56835601.4
1946-12-31,0.050161,59684383.6
1947-01-31,0.013084,60526667.4
1947-02-28,-0.011091,59499052.9
1947-03-31,-0.01679,58418819.4
1947-04-30,-0.047698,55589691.9
1947-05-31,-0.009625,54724421.8
1947-06-30,0.053227,57529909.8
1947-07-31,0.041348,59903329.3
1947-08-31,-0.017357,58761652.3
1947-09-30,-0.004667,58303587.2
1947-10-31,0.024831,59635995.6
1947-11-30,-0.01875,58106114.1
1947-12-31,0.030708,59885360.7
1948-01-31,-0.037908,57712665.3
1948-02-29,-0.043422,54814210.5
1948-03-31,0.082628,59197575.9
1948-04-30,0.038128,61466980.1
1948-05-31,0.074319,65705104.8
1948-06-30,-0.00028,65379874.8
1948-07-31,-0.050288,61917670.8
1948-08-31,0.003762,61768642.9
1948-09-30,-0.029813,59651125.0
1948-10-31,0.060316,63079798.3
1948-11-30,-0.092077,56644518.4
1948-12-31,0.032566,58301258.2
1949-01-31,0.003074,58472474.5
1949-02-28,-0.028852,56507502.4
1949-03-31,0.041538,58559914.8
1949-04-30,-0.017972,57516447.1
1949-05-31,-0.028488,55568472.9
1949-06-30,0.00218,55347129.8
1949-07-31,0.056377,58511144.0
1949-08-31,0.026916,59665079.9
1949-09-30,0.032082,61622369.6
1949-10-31,0.031801,63446520.8
1949-11-30,0.018535,63869080.0
1949-12-31,0.052267,67344403.4
1950-01-31,0.017764,68546982.0
1950-02-28,0.015234,69166503.1
1950-03-31,0.012742,70025751.8
1950-04-30,0.040678,72768915.4
1950-05-31,0.044173,75787265.9
1950-06-30,-0.058018,71044150.4
1950-07-31,0.016122,72227888.4
1950-08-31,0.050875,75228994.4
1950-09-30,0.049044,78695005.8
1950-10-31,-0.001184,78547971.9
1950-11-30,0.029056,79529141.1
1950-12-31,0.057946,84833973.9
1951-01-31,0.058735,89821367.9
1951-02-28,0.014086,90671487.8
1951-03-31,-0.021115,88759457.7
1951-04-30,0.050061,93183088.6
1951-05-31,-0.022464,90515704.1
1951-06-30,-0.025533,88262493.9
1951-07-31,0.071611,94482895.5
1951-08-31,0.045004,97941440.0
1951-09-30,0.009087,98477508.7
1951-10-31,-0.022629,96107802.9
1951-11-30,0.006193,95971264.4
1951-12-31,0.035266,100725150.0
1952-01-31,0.017002,102408916.0
1952-02-29,-0.025141,99137901.3
1952-03-31,0.04587,103564260.0
1952-04-30,-0.049148,98363134.4
1952-05-31,0.032847,100960672.0
1952-06-30,0.039575,104657381.0
1952-07-31,0.011404,105764722.0
1952-08-31,-0.006733,104261698.0
1952-09-30,-0.019147,102115737.0
1952-10-31,-0.005309,101316166.0
1952-11-30,0.059347,106401986.0
1952-12-31,0.031066,111187860.0
1953-01-31,-0.001644,110941958.0
1953-02-28,-0.00182,110010868.0
1953-03-31,-0.012862,108145450.0
1953-04-30,-0.027705,105230314.0
1953-05-31,0.006921,105398651.0
1953-06-30,-0.016377,103306735.0
1953-07-31,0.025111,105740183.0
1953-08-31,-0.044056,100318016.0
1953-09-30,0.00301,100220875.0
1953-10-31,0.047523,104727877.0
1953-11-30,0.028501,106874579.0
1953-12-31,0.000678,108286194.0
1954-01-31,0.052722,113895704.0
1954-02-28,0.017551,115084497.0
1954-03-31,0.037377,118925885.0
1954-04-30,0.043162,124094615.0
1954-05-31,0.031704,127191814.0
1954-06-30,0.01156,128253185.0
1954-07-31,0.050668,134623576.0
1954-08-31,-0.022763,130583965.0
1954-09-30,0.064633,138686714.0
1954-10-31,-0.016216,136199557.0
1954-11-30,0.095387,147831943.0
1954-12-31,0.055469,159614395.0
1955-01-31,0.006838,160540962.0
1955-02-28,0.031354,165072868.0
1955-03-31,-0.000995,164337718.0
1955-04-30,0.032352,169583268.0
1955-05-31,0.012033,170483988.0
1955-06-30,0.066108,181601452.0
1955-07-31,0.020246,185125300.0
1955-08-31,0.004197,185100170.0
1955-09-30,-0.002009,184129796.0
1955-10-31,-0.025752,178920742.0
1955-11-30,0.071864,190520413.0
1955-12-31,0.016543,197213978.0
1956-01-31,-0.02812,191445948.0
1956-02-29,0.03961,198171160.0
1956-03-31,0.068456,212017665.0
1956-04-30,0.005083,212910643.0
1956-05-31,-0.049309,201359063.0
1956-06-30,0.037251,208101994.0
1956-07-31,0.05083,218482380.0
1956-08-31,-0.02982,210719647.0
1956-09-30,-0.049608,200488460.0
1956-10-31,0.007292,201370913.0
1956-11-30,0.004678,200809905.0
1956-12-31,0.034957,211375251.0
1957-01-31,-0.032121,204530798.0
1957-02-28,-0.018703,200023624.0
1957-03-31,0.024112,204455009.0
1957-04-30,0.045179,213848579.0
1957-05-31,0.036679,221158139.0
1957-06-30,-0.005054,219540387.0
1957-07-31,0.008938,221698538.0
1957-08-31,-0.050051,209678250.0
1957-09-30,-0.057586,197008021.0
1957-10-31,-0.041251,188781112.0
1957-11-30,0.025605,192819806.0
1957-12-31,-0.037361,187753792.0
1958-01-31,0.049595,196376950.0
1958-02-28,-0.014257,192287819.0
1958-03-31,0.0337,198763615.0
1958-04-30,0.030833,204807572.0
1958-05-31,0.024582,208616830.0
1958-06-30,0.029493,214023052.0
1958-07-31,0.044844,223015579.0
1958-08-31,0.019181,226100002.0
1958-09-30,0.04868,236327473.0
1958-10-31,0.027184,242335529.0
1958-11-30,0.03061,248938946.0
1958-12-31,0.0531,267804898.0
1959-01-31,0.00912,270711180.0
1959-02-28,0.01122,272558420.0
1959-03-31,0.004669,273007793.0
1959-04-30,0.037899,283381668.0
1959-05-31,0.019595,288172001.0
1959-06-30,0.000676,287839200.0
1959-07-31,0.034362,297499307.0
1959-08-31,-0.012446,292609999.0
1959-09-30,-0.044977,278902307.0
1959-10-31,0.015746,283172761.0
1959-11-30,0.018557,287118978.0
1959-12-31,0.028043,299021494.0
1960-01-31,-0.066244,278996928.0
1960-02-29,0.014419,282326057.0
1960-03-31,-0.012822,278159487.0
1960-04-30,-0.015271,273807755.0
1960-05-31,0.034098,282146236.0
1960-06-30,0.022833,288136229.0
1960-07-31,-0.022705,281661173.0
1960-08-31,0.032215,289333471.0
1960-09-30,-0.058673,272307316.0
1960-10-31,-0.004705,270712394.0
1960-11-30,0.048617,282261348.0
1960-12-31,0.048537,299423865.0
1961-01-31,0.063952,318421966.0
1961-02-28,0.037005,328937437.0
1961-03-31,0.03061,339806367.0
1961-04-30,0.005645,341881853.0
1961-05-31,0.025894,349494365.0
1961-06-30,-0.028499,338886860.0
1961-07-31,0.029955,350321849.0
1961-08-31,0.026854,358322940.0
1961-09-30,-0.01999,350935373.0
1961-10-31,0.027331,360667013.0
1961-11-30,0.045451,375333555.0
1961-12-31,0.000713,378064824.0
1962-01-31,-0.036147,364665092.0
1962-02-28,0.019512,371979171.0
1962-03-31,-0.004688,369437300.0
1962-04-30,-0.063435,345937603.0
1962-05-31,-0.08462,315141998.0
1962-06-30,-0.082615,287510458.0
1962-07-31,0.065438,333169403.0
1962-08-31,0.023417,339267026.0
1962-09-30,-0.050158,321964576.0
1962-10-31,0.002188,321860786.0
1962-11-30,0.110137,355049378.0
1962-12-31,0.011865,360092770.0
1963-01-31,0.051848,378455049.0
1963-02-28,-0.021931,368525151.0
1963-03-31,0.032917,380298053.0
1963-04-30,0.047439,398526642.0
1963-05-31,0.020051,404612120.0
1963-06-30,-0.018031,396984905.0
1963-07-31,-0.001717,395748512.0
1963-08-31,0.052684,415158765.0
1963-09-30,-0.011898,409716707.0
1963-10-31,0.027708,420371416.0
1963-11-30,-0.005549,413915498.0
1963-12-31,0.021737,424616841.0
1964-01-31,0.02579,437650138.0
1964-02-29,0.017207,444491299.0
1964-03-31,0.017636,452020841.0
1964-04-30,0.004607,455774163.0
1964-05-31,0.017403,461940977.0
1964-06-30,0.01508,468072366.0
1964-07-31,0.020118,477817324.0
1964-08-31,-0.011266,470303904.0
1964-09-30,0.03048,484457387.0
1964-10-31,0.008869,487971179.0
1964-11-30,0.00309,484525235.0
1964-12-31,0.00369,490133350.0
1965-01-31,0.038646,508866582.0
1965-02-28,0.006946,510267940.0
1965-03-31,-0.009715,505895322.0
1965-04-30,0.033652,522847618.0
1965-05-31,-0.004351,519310301.0
1965-06-30,-0.051868,491605952.0
1965-07-31,0.01676,499281594.0
1965-08-31,0.030883,512372724.0
1965-09-30,0.031952,527972281.0
1965-10-31,0.029271,543353497.0
1965-11-30,0.003065,541238458.0
1965-12-31,0.013545,552706178.0
1966-01-31,0.012122,559235419.0
1966-02-28,-0.008621,551905846.0
1966-03-31,-0.020923,539521201.0
1966-04-30,0.024837,552098405.0
1966-05-31,-0.052538,521688629.0
1966-06-30,-0.010317,515840970.0
1966-07-31,-0.01287,509211563.0
1966-08-31,-0.075388,468280975.0
1966-09-30,-0.006958,463862760.0
1966-10-31,0.042294,483009402.0
1966-11-30,0.017516,488586767.0
1966-12-31,0.00621,495607922.0
1967-01-31,0.08553,537646864.0
1967-02-28,0.010945,542023095.0
1967-03-31,0.043384,564271297.0
1967-04-30,0.041609,587684902.0
1967-05-31,-0.039293,560449321.0
1967-06-30,0.026902,574773884.0
1967-07-31,0.04919,601295452.0
1967-08-31,-0.006282,594816002.0
1967-09-30,0.034286,613843309.0
1967-10-31,-0.027433,595430459.0
1967-11-30,0.007902,597139336.0
1967-12-31,0.033699,628633197.0
1968-01-31,-0.036331,603713421.0
1968-02-29,-0.033624,580360587.0
1968-03-31,0.005117,583399840.0
1968-04-30,0.094148,635667422.0
1968-05-31,0.02704,650684795.0
1968-06-30,0.011527,657700552.0
1968-07-31,-0.022024,641614057.0
1968-08-31,0.018037,652875071.0
1968-09-30,0.044454,680731782.0
1968-10-31,0.009042,685332214.0
1968-11-30,0.058501,724500638.0
1968-12-31,-0.033873,718326082.0
1969-01-31,-0.006711,713787749.0
