date,rf30,rf90
1925-12-31,,
1926-01-31,0.002951,0.004042
1926-02-28,0.002768,0.003237
1926-03-31,0.002778,0.002778
1926-04-30,0.003072,0.003072
1926-05-31,0.000342,0.001965
1926-06-30,0.003459,0.003459
1926-07-31,0.002243,0.002243
1926-08-31,0.002536,0.002069
1926-09-30,0.002273,0.002273
1926-10-31,0.003195,0.003195
1926-11-30,0.003093,0.004337
1926-12-31,0.002778,0.002778
1927-01-31,0.002463,0.001413
1927-02-28,0.00257,0.002524
1927-03-31,0.002959,0.002959
1927-04-30,0.002546,0.002546
1927-05-31,0.003008,0.003667
1927-06-30,0.002583,0.002583
1927-07-31,0.002991,0.002991
1927-08-31,0.002757,0.002963
1927-09-30,0.002096,0.002096
1927-10-31,0.00252,0.00252
1927-11-30,0.002086,0.001997
1927-12-31,0.00223,0.00223
1928-01-31,0.002225,0.002225
1928-02-29,0.003294,0.002774
1928-03-31,0.002936,0.002936
1928-04-30,0.002224,0.002224
1928-05-31,0.00292,0.001536
1928-06-30,0.003122,0.003122
1928-07-31,0.003226,0.003226
1928-08-31,0.003216,0.003849
1928-09-30,0.002723,0.002723
1928-10-31,0.004378,0.004378
1928-11-30,0.003874,0.011137
1928-12-31,0.003451,0.003451
1929-01-31,0.003332,0.002734
1929-02-28,0.003508,0.004224
1929-03-31,0.003431,0.003431
1929-04-30,0.003567,0.003567
1929-05-31,0.004388,0.003884
1929-06-30,0.005193,0.005193
1929-07-31,0.003345,0.003345
1929-08-31,0.00403,0.00472
1929-09-30,0.003573,0.003573
1929-10-31,0.004796,0.004796
1929-11-30,0.003547,0.005018
1929-12-31,0.003661,0.003661
1930-01-31,0.001393,8.8e-05
1930-02-28,0.002964,0.004951
1930-03-31,0.003475,0.003475
1930-04-30,0.002104,0.002104
1930-05-31,0.002581,0.005098
1930-06-30,0.002693,0.002693
1930-07-31,0.001984,0.001984
1930-08-31,0.00058,0.001312
1930-09-30,0.002192,0.002192
1930-10-31,0.000866,0.000866
1930-11-30,0.000999,0.000999
1930-12-31,0.001398,0.001398
1931-01-31,0.000555,0.002737
1931-02-28,0.000407,0.000407
1931-03-31,0.001887,0.000755
1931-04-30,0.000827,0.001123
1931-05-31,0.000875,0.000687
1931-06-30,0.000504,0.00089
1931-07-31,0.000591,0.000324
1931-08-31,0.000388,0.00031
1931-09-30,0.000417,-0.001059
1931-10-31,0.000812,-0.000288
1931-11-30,0.001669,0.002097
1931-12-31,0.001252,-0.000929
1932-01-31,0.002367,0.000523
1932-02-29,0.001447,0.00093
1932-03-31,0.001147,0.001706
